Season,Team,Gtm,Date,Home,Opp,Rslt,Team_pts,Opp_pts,OT,Team_FG,Team_FGA,Team_FG%,Team_3P,Team_3PA,Team_3P%,2P,2PA,2P%,eFG%,Team_FT,Team_FTA,Team_FT%,Team_ORB,DRB,Team_TRB,Team_AST,Team_STL,Team_BLK,Team_TOV,Team_PF,Opp_FG,Opp_FGA,Opp_FG%,Opp_3P,Opp_3PA,Opp_3P%,2P.1,2PA.1,2P%.1,eFG%.1,Opp_FT,Opp_FTA,Opp_FT%,Opp_ORB,DRB.1,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF
2022,DEN,1,2021-10-20,A,PHO,W,110,98,,44,83,.530,17,39,.436,27,44,.614,.633,5,9,.556,6,40,46,25,9,1,19,20,36,87,.414,14,37,.378,22,50,.440,.494,12,17,.706,11,34,45,23,9,3,18,18
2022,DEN,2,2021-10-22,H,SAS,W,102,96,,44,86,.512,9,30,.300,35,56,.625,.564,5,8,.625,8,33,41,26,10,2,21,21,40,84,.476,6,24,.250,34,60,.567,.512,10,14,.714,7,32,39,24,11,2,20,17
2022,DEN,3,2021-10-25,H,CLE,L,87,99,,35,86,.407,9,38,.237,26,48,.542,.459,8,12,.667,11,36,47,21,10,3,22,22,38,82,.463,7,25,.280,31,57,.544,.506,16,20,.800,11,38,49,26,8,5,16,18
2022,DEN,4,2021-10-26,A,UTA,L,110,122,,42,83,.506,10,28,.357,32,55,.582,.566,16,24,.667,5,30,35,19,9,3,13,23,44,85,.518,12,39,.308,32,46,.696,.588,22,29,.759,8,33,41,20,5,6,14,22
2022,DEN,5,2021-10-29,H,DAL,W,106,75,,43,83,.518,11,36,.306,32,47,.681,.584,9,13,.692,5,46,51,28,8,3,20,24,23,78,.295,8,37,.216,15,41,.366,.346,21,27,.778,6,30,36,14,8,3,15,17
2022,DEN,6,2021-10-30,A,MIN,W,93,91,,36,88,.409,9,37,.243,27,51,.529,.460,12,16,.750,14,34,48,24,11,10,18,15,35,89,.393,13,41,.317,22,48,.458,.466,8,9,.889,15,31,46,21,8,6,20,23
2022,DEN,7,2021-11-01,A,MEM,L,97,106,,39,88,.443,9,38,.237,30,50,.600,.494,10,15,.667,6,34,40,27,8,8,12,10,44,97,.454,13,34,.382,31,63,.492,.521,5,7,.714,11,44,55,20,8,4,13,18
2022,DEN,8,2021-11-03,A,MEM,L,106,108,,43,91,.473,8,27,.296,35,64,.547,.516,12,13,.923,11,33,44,24,7,4,12,16,42,81,.519,16,34,.471,26,47,.553,.617,8,14,.571,3,33,36,28,9,7,12,16
2022,DEN,9,2021-11-06,H,HOU,W,95,94,,36,89,.404,9,40,.225,27,49,.551,.455,14,17,.824,10,35,45,19,10,5,11,20,35,75,.467,8,28,.286,27,47,.574,.520,16,24,.667,7,40,47,19,8,6,17,16
2022,DEN,10,2021-11-08,H,MIA,W,113,96,,42,91,.462,12,41,.293,30,50,.600,.527,17,24,.708,12,37,49,28,7,5,10,23,31,78,.397,13,36,.361,18,42,.429,.481,21,25,.840,6,31,37,22,3,3,13,20
2022,DEN,11,2021-11-10,H,IND,W,101,98,,36,84,.429,12,30,.400,24,54,.444,.500,17,20,.850,11,28,39,19,5,4,10,14,40,84,.476,11,31,.355,29,53,.547,.542,7,11,.636,10,38,48,22,5,11,15,19
2022,DEN,12,2021-11-12,H,ATL,W,105,96,,40,90,.444,10,35,.286,30,55,.545,.500,15,20,.750,10,39,49,26,6,5,8,21,38,93,.409,5,28,.179,33,65,.508,.435,15,21,.714,14,36,50,20,2,5,8,20
2022,DEN,13,2021-11-14,H,POR,W,124,95,,47,90,.522,19,40,.475,28,50,.560,.628,11,14,.786,14,35,49,29,9,1,11,14,35,80,.438,13,39,.333,22,41,.537,.519,12,13,.923,8,28,36,22,8,4,13,15
2022,DEN,14,2021-11-15,A,DAL,L,101,111,,40,84,.476,9,32,.281,31,52,.596,.530,12,17,.706,10,36,46,20,4,5,12,16,45,90,.500,14,36,.389,31,54,.574,.578,7,10,.700,10,34,44,30,7,2,9,19
2022,DEN,15,2021-11-18,H,PHI,L,89,103,,32,89,.360,12,36,.333,20,53,.377,.427,13,16,.813,10,36,46,22,6,4,11,14,43,85,.506,11,29,.379,32,56,.571,.571,6,12,.500,6,39,45,22,5,7,10,18
2022,DEN,16,2021-11-19,H,CHI,L,108,114,,39,82,.476,14,37,.378,25,45,.556,.561,16,20,.800,7,31,38,24,5,5,14,22,41,93,.441,8,31,.258,33,62,.532,.484,24,24,1.000,17,33,50,19,7,3,11,20
2022,DEN,17,2021-11-21,A,PHO,L,97,126,,33,90,.367,11,38,.289,22,52,.423,.428,20,28,.714,12,30,42,20,5,1,10,22,46,87,.529,11,36,.306,35,51,.686,.592,23,26,.885,10,41,51,34,7,3,13,20
2022,DEN,18,2021-11-23,A,POR,L,100,119,,38,78,.487,15,33,.455,23,45,.511,.583,9,11,.818,7,30,37,26,6,5,19,15,45,88,.511,15,39,.385,30,49,.612,.597,14,20,.700,12,31,43,25,12,7,9,18
2022,DEN,19,2021-11-26,H,MIL,L,109,120,,40,92,.435,17,47,.362,23,45,.511,.527,12,14,.857,9,22,31,24,9,2,8,19,46,73,.630,16,33,.485,30,40,.750,.740,12,20,.600,5,39,44,24,3,7,22,14
2022,DEN,20,2021-11-29,A,MIA,W,120,111,,43,74,.581,18,35,.514,25,39,.641,.703,16,21,.762,5,30,35,32,2,1,13,18,43,91,.473,15,44,.341,28,47,.596,.555,10,15,.667,12,27,39,32,2,1,9,18
2022,DEN,21,2021-12-01,A,ORL,L,103,108,,39,80,.488,10,34,.294,29,46,.630,.550,15,21,.714,1,34,35,22,5,4,15,19,44,81,.543,6,27,.222,38,54,.704,.580,14,19,.737,1,38,39,26,8,6,13,15
2022,DEN,22,2021-12-04,A,NYK,W,113,99,,44,84,.524,20,43,.465,24,41,.585,.643,5,5,1.000,8,34,42,30,10,5,13,19,35,88,.398,12,40,.300,23,48,.479,.466,17,21,.810,16,24,40,23,7,3,11,12
