Season,Team,Gtm,Date,Home,Opp,Win,Team_pts,Opp_pts,Team_FG,Team_FGA,Team_FG%,Team_3P,Team_3PA,Team_3P%,2P,2PA,2P%,eFG%,Team_FT,Team_FTA,Team_FT%,Team_ORB,DRB,Team_TRB,Team_AST,Team_STL,Team_BLK,Team_TOV,Team_PF,Opp_FG,Opp_FGA,Opp_FG%,Opp_3P,Opp_3PA,Opp_3P%,2P.1,2PA.1,2P%.1,eFG%.1,Opp_FT,Opp_FTA,Opp_FT%,Opp_ORB,DRB.1,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,Point_Diff,Opp_eFG%,TOV_Rate,ORB%,AST_TO_Ratio,Team_pts_5game_avg,Opp_pts_5game_avg,Point_Diff_5game_avg,eFG%_5game_avg,Opp_eFG%_5game_avg,TOV_Rate_5game_avg,ORB%_5game_avg,AST_TO_Ratio_5game_avg,Win_5game_avg,Win_10game_pct
2022,GSW,1,2021-10-19,0,LAL,1,121,114,41,93,.441,14,39,.359,27,54,.500,0.5161290322580645,25,30,.833,9,41,50,30,9,2,17,18,45,95,.474,15,42,.357,30,53,.566,.553,9,19,.474,5,40,45,21,7,4,18,25,7,0.5526315789473685,0.137987012987013,0.1836734693877551,1.7647058823529411,121.0,114.0,7.0,0.5161290322580645,0.5526315789473685,0.137987012987013,0.1836734693877551,1.7647058823529411,1.0,1.0
2022,GSW,2,2021-10-21,1,LAC,1,115,113,43,83,.518,15,31,.484,28,52,.538,0.608433734939759,14,22,.636,10,43,53,27,5,4,21,20,42,96,.438,14,40,.350,28,56,.500,.510,15,21,.714,8,31,39,24,9,2,7,25,2,0.5104166666666666,0.18472906403940886,0.24390243902439024,1.2857142857142858,118.0,113.5,4.5,0.5622813835989118,0.5315241228070176,0.16135803851321093,0.21378795420607266,1.5252100840336134,1.0,1.0
2022,GSW,3,2021-10-24,0,SAC,1,119,107,43,97,.443,13,37,.351,30,60,.500,0.5103092783505154,20,24,.833,14,29,43,26,12,3,7,13,42,86,.488,15,46,.326,27,40,.675,.576,8,13,.615,10,37,47,26,0,4,19,16,12,0.5755813953488372,0.061103351955307264,0.27450980392156865,3.7142857142857144,118.33333333333333,111.33333333333333,7.0,0.544957348516113,0.5462098803209575,0.12793980966057636,0.23402857077790465,2.2549019607843137,1.0,1.0
2022,GSW,4,2021-10-26,0,OKC,1,106,98,39,83,.470,14,40,.350,25,43,.581,0.5542168674698795,14,18,.778,7,39,46,30,9,8,15,20,36,86,.419,12,34,.353,24,52,.462,.488,14,17,.824,9,33,42,19,7,3,14,18,8,0.4883720930232558,0.14161631419939577,0.175,2.0,115.25,108.0,7.25,0.5472722282545546,0.5317504334965321,0.13135893579528124,0.21927142808342848,2.1911764705882355,1.0,1.0
2022,GSW,5,2021-10-28,1,MEM,0,101,104,39,90,.433,14,40,.350,25,50,.500,0.5111111111111111,9,12,.750,7,41,48,29,8,7,23,17,39,97,.402,12,48,.250,27,49,.551,.464,14,14,1.000,10,41,51,25,17,9,18,14,-3,0.4639175257731959,0.19445383834967872,0.14583333333333334,1.2608695652173914,112.4,107.2,5.2,0.5400400048258659,0.5181838519518648,0.14397791630616072,0.20458380913340948,2.0051150895140664,0.8,0.8
2022,GSW,6,2021-10-30,1,OKC,1,103,82,39,92,.424,21,54,.389,18,38,.474,0.5380434782608695,4,8,.500,10,46,56,30,9,8,16,21,29,83,.349,8,39,.205,21,44,.477,.398,16,21,.762,3,42,45,14,8,6,16,8,21,0.39759036144578314,0.14347202295552366,0.19230769230769232,1.875,108.8,100.8,8.0,0.5444228940264269,0.48717560845154767,0.14507491829986285,0.20631065371739693,2.027173913043478,0.8,0.8333333333333334
2022,GSW,7,2021-11-03,1,CHO,1,114,92,42,86,.488,18,45,.400,24,41,.585,0.5930232558139535,12,18,.667,7,46,53,33,14,4,17,17,34,91,.374,10,36,.278,24,55,.436,.429,14,19,.737,9,40,49,18,10,2,16,14,22,0.42857142857142855,0.1532636134150739,0.14893617021276595,1.9411764705882353,108.6,96.6,12.0,0.5413407982012658,0.47080656083250016,0.13878182817499587,0.18731739995507204,2.1582663500182684,0.8,0.8571428571428571
2022,GSW,8,2021-11-05,1,NOP,1,126,85,47,91,.516,20,50,.400,27,41,.659,0.6263736263736264,12,14,.857,9,40,49,36,10,4,11,16,31,88,.352,11,44,.250,20,44,.455,.415,12,16,.750,11,31,42,23,6,3,19,18,41,0.4147727272727273,0.10170118343195267,0.225,3.272727272727273,110.0,92.2,17.8,0.564553667805888,0.4386448272172781,0.14690139447032494,0.17741543917075833,2.06995466170658,0.8,0.875
2022,GSW,9,2021-11-07,1,HOU,1,120,107,44,85,.518,15,46,.326,29,39,.744,0.6058823529411764,17,20,.850,7,34,41,31,12,3,17,28,36,79,.456,10,33,.303,26,46,.565,.519,25,37,.676,12,30,42,17,11,3,21,16,13,0.5189873417721519,0.15342960288808666,0.1891891891891892,1.8235294117647058,112.8,94.0,18.8,0.5748867649001475,0.44476787696705733,0.1492640522080631,0.18025327700859617,2.034660544059521,0.8,0.8888888888888888
2022,GSW,10,2021-11-08,1,ATL,1,127,113,44,92,.478,18,44,.409,26,48,.542,0.5760869565217391,21,22,.955,10,29,39,31,13,4,14,22,38,82,.463,17,43,.395,21,39,.538,.567,20,26,.769,3,32,35,21,6,2,18,16,14,0.5670731707317073,0.1210235131396957,0.23809523809523808,2.2142857142857144,118.0,95.8,22.2,0.587881933982273,0.46539900595875966,0.13457798716606653,0.1987056579609771,2.2253437738731856,1.0,0.9
