Season,Team,Gtm,Date,Home,Opp,Rslt,Team_pts,Opp_pts,OT,Team_FG,Team_FGA,Team_FG%,Team_3P,Team_3PA,Team_3P%,2P,2PA,2P%,eFG%,Team_FT,Team_FTA,Team_FT%,Team_ORB,DRB,Team_TRB,Team_AST,Team_STL,Team_BLK,Team_TOV,Team_PF,Opp_FG,Opp_FGA,Opp_FG%,Opp_3P,Opp_3PA,Opp_3P%,2P.1,2PA.1,2P%.1,eFG%.1,Opp_FT,Opp_FTA,Opp_FT%,Opp_ORB,DRB.1,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF
2022,GSW,1,2021-10-19,A,LAL,W,121,114,,41,93,.441,14,39,.359,27,54,.500,.516,25,30,.833,9,41,50,30,9,2,17,18,45,95,.474,15,42,.357,30,53,.566,.553,9,19,.474,5,40,45,21,7,4,18,25
2022,GSW,2,2021-10-21,H,LAC,W,115,113,,43,83,.518,15,31,.484,28,52,.538,.608,14,22,.636,10,43,53,27,5,4,21,20,42,96,.438,14,40,.350,28,56,.500,.510,15,21,.714,8,31,39,24,9,2,7,25
2022,GSW,3,2021-10-24,A,SAC,W,119,107,,43,97,.443,13,37,.351,30,60,.500,.510,20,24,.833,14,29,43,26,12,3,7,13,42,86,.488,15,46,.326,27,40,.675,.576,8,13,.615,10,37,47,26,0,4,19,16
2022,GSW,4,2021-10-26,A,OKC,W,106,98,,39,83,.470,14,40,.350,25,43,.581,.554,14,18,.778,7,39,46,30,9,8,15,20,36,86,.419,12,34,.353,24,52,.462,.488,14,17,.824,9,33,42,19,7,3,14,18
2022,GSW,5,2021-10-28,H,MEM,L,101,104,OT,39,90,.433,14,40,.350,25,50,.500,.511,9,12,.750,7,41,48,29,8,7,23,17,39,97,.402,12,48,.250,27,49,.551,.464,14,14,1.000,10,41,51,25,17,9,18,14
2022,GSW,6,2021-10-30,H,OKC,W,103,82,,39,92,.424,21,54,.389,18,38,.474,.538,4,8,.500,10,46,56,30,9,8,16,21,29,83,.349,8,39,.205,21,44,.477,.398,16,21,.762,3,42,45,14,8,6,16,8
2022,GSW,7,2021-11-03,H,CHO,W,114,92,,42,86,.488,18,45,.400,24,41,.585,.593,12,18,.667,7,46,53,33,14,4,17,17,34,91,.374,10,36,.278,24,55,.436,.429,14,19,.737,9,40,49,18,10,2,16,14
2022,GSW,8,2021-11-05,H,NOP,W,126,85,,47,91,.516,20,50,.400,27,41,.659,.626,12,14,.857,9,40,49,36,10,4,11,16,31,88,.352,11,44,.250,20,44,.455,.415,12,16,.750,11,31,42,23,6,3,19,18
2022,GSW,9,2021-11-07,H,HOU,W,120,107,,44,85,.518,15,46,.326,29,39,.744,.606,17,20,.850,7,34,41,31,12,3,17,28,36,79,.456,10,33,.303,26,46,.565,.519,25,37,.676,12,30,42,17,11,3,21,16
2022,GSW,10,2021-11-08,H,ATL,W,127,113,,44,92,.478,18,44,.409,26,48,.542,.576,21,22,.955,10,29,39,31,13,4,14,22,38,82,.463,17,43,.395,21,39,.538,.567,20,26,.769,3,32,35,21,6,2,18,16
2022,GSW,11,2021-11-10,H,MIN,W,123,110,,40,85,.471,11,40,.275,29,45,.644,.535,32,40,.800,20,33,53,23,14,6,16,21,39,95,.411,17,44,.386,22,51,.431,.500,15,20,.750,17,23,40,30,8,4,17,28
2022,GSW,12,2021-11-12,H,CHI,W,119,93,,45,93,.484,15,46,.326,30,47,.638,.565,14,16,.875,12,35,47,27,15,3,16,15,34,78,.436,8,27,.296,26,51,.510,.487,17,22,.773,7,31,38,18,9,2,20,16
2022,GSW,13,2021-11-14,A,CHO,L,102,106,,38,90,.422,9,39,.231,29,51,.569,.472,17,25,.680,11,38,49,31,8,7,15,17,42,88,.477,14,36,.389,28,52,.538,.557,8,12,.667,4,35,39,23,10,2,13,21
2022,GSW,14,2021-11-16,A,BRK,W,117,99,,41,79,.519,13,40,.325,28,39,.718,.601,22,28,.786,9,44,53,25,4,8,22,27,34,88,.386,10,36,.278,24,52,.462,.443,21,27,.778,9,29,38,21,12,2,12,23
2022,GSW,15,2021-11-18,A,CLE,W,104,89,,41,83,.494,15,43,.349,26,40,.650,.584,7,8,.875,5,29,34,36,12,2,11,17,34,80,.425,12,39,.308,22,41,.537,.500,9,16,.563,13,29,42,22,6,3,20,11
2022,GSW,16,2021-11-19,A,DET,W,105,102,,38,80,.475,12,30,.400,26,50,.520,.550,17,21,.810,14,34,48,22,8,4,19,23,32,80,.400,14,42,.333,18,38,.474,.488,24,30,.800,11,24,35,21,11,7,13,22
2022,GSW,17,2021-11-21,H,TOR,W,119,104,,39,79,.494,22,45,.489,17,34,.500,.633,19,24,.792,8,39,47,31,5,7,16,18,39,99,.394,15,37,.405,24,62,.387,.470,11,20,.550,18,29,47,25,7,4,11,21
2022,GSW,18,2021-11-24,H,PHI,W,116,96,,42,80,.525,15,38,.395,27,42,.643,.619,17,24,.708,4,37,41,32,7,5,16,21,34,80,.425,8,28,.286,26,52,.500,.475,20,22,.909,8,33,41,17,10,7,21,22
2022,GSW,19,2021-11-26,H,POR,W,118,103,,47,87,.540,12,37,.324,35,50,.700,.609,12,16,.750,11,37,48,31,8,5,15,19,36,86,.419,13,38,.342,23,48,.479,.494,18,23,.783,7,30,37,23,7,2,10,13
2022,GSW,20,2021-11-28,A,LAC,W,105,90,,38,86,.442,17,40,.425,21,46,.457,.541,12,22,.545,11,32,43,25,19,2,17,27,32,80,.400,9,28,.321,23,52,.442,.456,17,25,.680,15,32,47,18,8,3,25,21
2022,GSW,21,2021-11-30,A,PHO,L,96,104,,36,86,.419,14,40,.350,22,46,.478,.500,10,14,.714,15,36,51,25,7,5,23,13,43,87,.494,12,30,.400,31,57,.544,.563,6,11,.545,8,27,35,28,12,4,13,12
2022,GSW,22,2021-12-03,H,PHO,W,118,96,,45,92,.489,19,39,.487,26,53,.491,.592,9,12,.750,11,40,51,30,10,8,17,29,31,81,.383,8,22,.364,23,59,.390,.432,26,35,.743,9,29,38,23,9,3,16,15
2022,GSW,23,2021-12-04,H,SAS,L,107,112,,40,90,.444,13,39,.333,27,51,.529,.517,14,21,.667,11,34,45,26,6,2,13,18,42,88,.477,12,35,.343,30,53,.566,.545,16,19,.842,11,34,45,24,10,4,12,17
2022,GSW,24,2021-12-06,H,ORL,W,126,95,,43,87,.494,20,40,.500,23,47,.489,.609,20,29,.690,7,36,43,28,15,2,15,19,33,76,.434,11,38,.289,22,38,.579,.507,18,22,.818,5,33,38,18,10,4,23,20
2022,GSW,25,2021-12-08,H,POR,W,104,94,,33,83,.398,14,46,.304,19,37,.514,.482,24,31,.774,10,37,47,22,9,3,16,19,33,80,.413,8,30,.267,25,50,.500,.463,20,28,.714,7,35,42,24,5,3,16,24
2022,GSW,26,2021-12-11,A,PHI,L,93,102,,34,85,.400,12,48,.250,22,37,.595,.471,13,18,.722,10,32,42,21,5,5,13,22,35,76,.461,9,27,.333,26,49,.531,.520,23,26,.885,5,39,44,19,7,5,13,16
2022,GSW,27,2021-12-13,A,IND,W,102,100,,42,84,.500,8,30,.267,34,54,.630,.548,10,14,.714,9,38,47,21,6,6,18,25,35,87,.402,7,30,.233,28,57,.491,.443,23,31,.742,13,29,42,16,11,5,10,18
2022,GSW,28,2021-12-14,A,NYK,W,105,96,,35,77,.455,15,40,.375,20,37,.541,.552,20,27,.741,7,42,49,28,3,6,12,22,30,83,.361,16,42,.381,14,41,.341,.458,20,22,.909,4,31,35,18,6,6,9,21
2022,GSW,29,2021-12-17,A,BOS,W,111,107,,39,90,.433,16,46,.348,23,44,.523,.522,17,21,.810,12,33,45,27,9,8,14,25,36,82,.439,15,41,.366,21,41,.512,.530,20,29,.690,11,34,45,20,5,2,16,19
2022,GSW,30,2021-12-18,A,TOR,L,100,119,,37,79,.468,11,36,.306,26,43,.605,.538,15,21,.714,11,36,47,26,5,5,20,21,45,90,.500,14,38,.368,31,52,.596,.578,15,23,.652,12,29,41,26,13,3,11,21
2022,GSW,31,2021-12-20,H,SAC,W,113,98,,46,88,.523,15,37,.405,31,51,.608,.608,6,9,.667,10,32,42,28,12,9,16,18,37,83,.446,13,32,.406,24,51,.471,.524,11,16,.688,6,31,37,23,10,3,21,9
2022,GSW,32,2021-12-23,H,MEM,W,113,104,,40,82,.488,19,40,.475,21,42,.500,.604,14,18,.778,8,31,39,30,9,9,19,19,38,90,.422,8,26,.308,30,64,.469,.467,20,24,.833,14,28,42,18,10,6,13,20
2022,GSW,33,2021-12-25,A,PHO,W,116,107,,42,85,.494,14,37,.378,28,48,.583,.576,18,21,.857,12,30,42,28,11,7,11,22,40,83,.482,11,30,.367,29,53,.547,.548,16,16,1.000,9,28,37,20,5,2,13,17
2022,GSW,34,2021-12-28,H,DEN,L,86,89,,30,72,.417,10,32,.313,20,40,.500,.486,16,31,.516,8,35,43,20,8,2,17,20,34,83,.410,8,33,.242,26,50,.520,.458,13,20,.650,13,31,44,24,10,5,16,19
2022,GSW,35,2022-01-01,A,UTA,W,123,116,,46,86,.535,17,32,.531,29,54,.537,.634,14,21,.667,7,33,40,39,10,2,15,24,40,92,.435,14,44,.318,26,48,.542,.511,22,28,.786,15,30,45,19,7,0,13,21
2022,GSW,36,2022-01-03,H,MIA,W,115,108,,45,92,.489,14,38,.368,31,54,.574,.565,11,13,.846,7,36,43,39,11,6,12,17,37,90,.411,17,42,.405,20,48,.417,.506,17,19,.895,11,38,49,24,5,2,19,13
2022,GSW,37,2022-01-05,A,DAL,L,82,99,,33,81,.407,5,28,.179,28,53,.528,.438,11,16,.688,8,38,46,20,10,5,17,20,33,87,.379,12,40,.300,21,47,.447,.448,21,26,.808,10,36,46,22,6,5,12,15
2022,GSW,38,2022-01-06,A,NOP,L,96,101,,37,87,.425,7,33,.212,30,54,.556,.466,15,18,.833,8,35,43,22,12,6,14,24,35,83,.422,8,34,.235,27,49,.551,.470,23,29,.793,8,38,46,20,7,5,17,18
2022,GSW,39,2022-01-09,H,CLE,W,96,82,,39,97,.402,10,42,.238,29,55,.527,.454,8,10,.800,22,32,54,24,16,5,15,20,32,75,.427,7,24,.292,25,51,.490,.473,11,18,.611,8,34,42,21,9,3,19,10
