Season,Team,G,Date,Home,Opp,W/L,Team_pts,Opp_pts,Team_FG,Team_FGA,Team_FG%,Team_3P,Team_3PA,Team_3P%,Team_FT,Team_FTA,Team_FT%,Team_ORB,Team_TRB,Team_AST,Team_STL,Team_BLK,Team_TOV,Team_PF,Opp_FG,Opp_FGA,Opp_FG%,Opp_3P,Opp_3PA,Opp_3P%,Opp_FT,Opp_FTA,Opp_FT%,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF
2019,ATL,1,2018-10-17,A,NYK,L,107,126,41,90,.456,10,36,.278,15,18,.833,7,45,19,7,3,24,30,45,99,.455,12,33,.364,24,31,.774,10,46,21,12,6,15,23
2019,ATL,2,2018-10-19,A,MEM,L,117,131,41,83,.494,14,30,.467,21,36,.583,11,40,27,9,5,19,31,44,81,.543,13,26,.500,30,43,.698,7,41,32,9,4,16,29
2019,ATL,3,2018-10-21,A,CLE,W,133,111,48,98,.490,22,47,.468,15,19,.789,9,44,32,9,7,12,21,46,99,.465,10,27,.370,9,14,.643,15,49,23,5,2,18,25
2019,ATL,4,2018-10-24,H,DAL,W,111,104,37,91,.407,15,38,.395,22,31,.710,10,54,28,6,6,15,26,38,91,.418,12,40,.300,16,26,.615,9,52,25,7,9,17,27
2019,ATL,5,2018-10-27,H,CHI,L,85,97,27,84,.321,12,40,.300,19,23,.826,11,48,20,9,8,22,13,36,83,.434,12,33,.364,13,16,.813,8,52,25,14,6,20,21
2019,ATL,6,2018-10-29,A,PHI,L,92,113,35,94,.372,8,37,.216,14,21,.667,10,47,20,10,3,13,18,41,99,.414,14,47,.298,17,18,.944,16,64,33,7,9,19,22
2019,ATL,7,2018-10-30,A,CLE,L,114,136,44,82,.537,15,35,.429,11,17,.647,6,39,25,6,8,22,29,45,90,.500,13,25,.520,33,43,.767,13,48,23,13,1,13,20
2019,ATL,8,2018-11-01,H,SAC,L,115,146,42,87,.483,8,31,.258,23,34,.676,10,43,26,6,6,22,28,53,98,.541,14,35,.400,26,32,.813,10,46,38,14,3,14,29
2019,ATL,9,2018-11-03,H,MIA,W,123,118,46,88,.523,13,32,.406,18,23,.783,8,37,33,11,7,16,21,41,85,.482,16,40,.400,20,26,.769,13,41,27,6,6,17,20
2019,ATL,10,2018-11-06,A,CHO,L,102,113,41,85,.482,6,30,.200,14,18,.778,7,37,22,13,9,22,18,45,92,.489,13,31,.419,10,18,.556,8,43,27,9,4,21,16
2019,ATL,11,2018-11-07,H,NYK,L,107,112,37,92,.402,11,38,.289,22,29,.759,15,45,26,5,9,17,30,34,77,.442,11,30,.367,33,47,.702,11,48,15,8,7,16,30
2019,ATL,12,2018-11-09,H,DET,L,109,124,36,79,.456,7,28,.250,30,40,.750,9,53,17,6,2,16,21,46,97,.474,20,47,.426,12,19,.632,10,44,30,10,6,10,31
2019,ATL,13,2018-11-11,A,LAL,L,106,107,41,95,.432,13,37,.351,11,13,.846,10,44,25,11,4,17,23,39,92,.424,14,38,.368,15,24,.625,17,48,28,12,9,22,23
2019,ATL,14,2018-11-13,A,GSW,L,103,110,40,89,.449,12,32,.375,11,15,.733,10,42,25,9,2,14,18,39,91,.429,12,27,.444,20,21,.952,13,48,28,8,6,13,20
