Season,Team,Gtm,Date,Home,Opp,Win,Team_pts,Opp_pts,Team_FG,Team_FGA,Team_FG%,Team_3P,Team_3PA,Team_3P%,2P,2PA,2P%,eFG%,Team_FT,Team_FTA,Team_FT%,Team_ORB,DRB,Team_TRB,Team_AST,Team_STL,Team_BLK,Team_TOV,Team_PF,Opp_FG,Opp_FGA,Opp_FG%,Opp_3P,Opp_3PA,Opp_3P%,2P.1,2PA.1,2P%.1,eFG%.1,Opp_FT,Opp_FTA,Opp_FT%,Opp_ORB,DRB.1,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF,Point_Diff,Opp_eFG%,TOV_Rate,ORB%,AST_TO_Ratio,Team_pts_5game_avg,Opp_pts_5game_avg,Point_Diff_5game_avg,eFG%_5game_avg,Opp_eFG%_5game_avg,TOV_Rate_5game_avg,ORB%_5game_avg,AST_TO_Ratio_5game_avg,Win_5game_avg,Win_10game_pct
2022,LAL,1,2021-10-19,1,GSW,0,114,121,45,95,.474,15,42,.357,30,53,.566,0.5526315789473685,9,19,.474,5,40,45,21,7,4,18,25,41,93,.441,14,39,.359,27,54,.500,.516,25,30,.833,9,41,50,30,9,2,17,18,-7,0.5161290322580645,0.14831905075807514,0.10869565217391304,1.1666666666666667,114.0,121.0,-7.0,0.5526315789473685,0.5161290322580645,0.14831905075807514,0.10869565217391304,1.1666666666666667,0.0,0.0
2022,LAL,2,2021-10-22,1,PHO,0,105,115,34,86,.395,15,34,.441,19,52,.365,0.48255813953488375,22,29,.759,12,34,46,25,7,3,16,26,42,86,.488,10,32,.313,32,54,.593,.547,21,28,.750,7,40,47,31,8,2,12,22,-10,0.5465116279069767,0.1394214011850819,0.23076923076923078,1.5625,109.5,118.0,-8.5,0.5175948592411261,0.5313203300825207,0.1438702259715785,0.1697324414715719,1.3645833333333335,0.0,0.0
2022,LAL,3,2021-10-24,1,MEM,1,121,118,45,84,.536,16,30,.533,29,54,.537,0.6309523809523809,15,22,.682,9,27,36,29,10,12,17,14,45,100,.450,13,35,.371,32,65,.492,.515,15,18,.833,18,31,49,25,13,4,17,20,3,0.515,0.15359595229490422,0.225,1.7058823529411764,113.33333333333333,118.0,-4.666666666666667,0.5553806998115444,0.5258802200550138,0.14711213474602042,0.18815496098104792,1.4783496732026145,0.3333333333333333,0.3333333333333333
2022,LAL,4,2021-10-26,0,SAS,1,125,121,50,105,.476,8,30,.267,42,75,.560,0.5142857142857142,17,22,.773,9,47,56,20,8,10,13,21,48,108,.444,13,36,.361,35,72,.486,.505,12,22,.545,16,43,59,33,10,6,16,22,4,0.5046296296296297,0.10181704260651629,0.17307692307692307,1.5384615384615385,116.25,118.75,-2.5,0.5451069534300869,0.5205675724486677,0.1357883617111444,0.18438545150501673,1.4933776395173455,0.5,0.5
2022,LAL,5,2021-10-27,0,OKC,0,115,123,46,92,.500,11,35,.314,35,57,.614,0.5597826086956522,12,14,.857,10,30,40,29,8,2,17,22,43,86,.500,15,37,.405,28,49,.571,.587,22,29,.759,10,32,42,21,8,3,16,16,-8,0.5872093023255814,0.1476207016325113,0.23809523809523808,1.7058823529411764,116.0,119.6,-3.6,0.5480420844831999,0.5338959184240505,0.13815482969541776,0.19512740882306098,1.5358785822021115,0.4,0.4
2022,LAL,6,2021-10-29,1,CLE,1,113,101,46,84,.548,12,27,.444,34,57,.596,0.6190476190476191,9,10,.900,11,31,42,24,9,6,22,20,37,87,.425,12,34,.353,25,53,.472,.494,15,22,.682,16,20,36,28,10,1,15,13,12,0.4942528735632184,0.19927536231884058,0.3548387096774194,1.0909090909090908,115.8,115.6,0.2,0.56132529250325,0.5295206866850812,0.14834609200757085,0.24435602032376225,1.5207270670505963,0.6,0.5
2022,LAL,7,2021-10-31,1,HOU,1,95,85,39,96,.406,9,31,.290,30,65,.462,0.453125,8,13,.615,10,33,43,22,15,9,14,20,32,76,.421,6,28,.214,26,48,.542,.461,15,29,.517,10,45,55,18,8,3,27,18,10,0.4605263157894737,0.12098167991704113,0.18181818181818182,1.5714285714285714,113.8,109.6,4.2,0.5554386645962733,0.5123236242615806,0.1446581477539627,0.23456581053355247,1.5225127813363106,0.8,0.5714285714285714
2022,LAL,8,2021-11-02,1,HOU,1,119,117,49,93,.527,6,25,.240,43,68,.632,0.5591397849462365,15,20,.750,11,32,43,26,10,4,17,19,48,91,.527,16,42,.381,32,49,.653,.615,5,12,.417,11,27,38,27,8,4,25,21,2,0.6153846153846154,0.1430976430976431,0.2894736842105263,1.5294117647058822,113.4,109.4,4.0,0.5410761453950444,0.5324005473385036,0.1425584859145105,0.24746054737565776,1.487218663689252,0.8,0.625
2022,LAL,9,2021-11-04,1,OKC,0,104,107,39,94,.415,12,33,.364,27,61,.443,0.4787234042553192,14,17,.824,16,33,49,22,8,5,14,21,37,87,.425,15,41,.366,22,46,.478,.511,18,26,.692,12,38,50,23,7,2,16,16,-3,0.5114942528735632,0.12123311395912711,0.2962962962962963,1.5714285714285714,109.2,106.6,2.6,0.5339636833889654,0.5337734719872904,0.14644170018503264,0.2721044220195324,1.4938120702826585,0.6,0.5555555555555556
2022,LAL,10,2021-11-06,0,POR,0,90,105,31,90,.344,9,32,.281,22,58,.379,0.39444444444444443,19,24,.792,11,48,59,20,8,5,19,17,36,95,.379,15,55,.273,21,40,.525,.458,18,24,.750,12,40,52,22,14,7,12,21,-15,0.45789473684210524,0.15891602542656408,0.21568627450980393,1.0526315789473684,104.2,103.0,1.2,0.5008960505387238,0.5079105588905952,0.1487007649438432,0.2676226293024455,1.363161915483897,0.6,0.5
2022,LAL,11,2021-11-08,1,CHO,1,126,123,44,91,.484,13,32,.406,31,59,.525,0.554945054945055,25,35,.714,8,43,51,30,11,8,15,23,43,99,.434,14,42,.333,29,57,.509,.505,23,28,.821,14,41,55,23,5,3,18,23,3,0.5050505050505051,0.12355848434925865,0.16326530612244897,2.0,106.8,107.4,-0.6,0.488075537718211,0.5100700851880525,0.1335573893499268,0.22930794859145145,1.5449800973020786,0.6,0.6
2022,LAL,12,2021-11-10,1,MIA,1,120,117,46,92,.500,18,38,.474,28,54,.519,0.5978260869565217,10,16,.625,9,41,50,26,5,6,23,27,40,96,.417,10,37,.270,30,59,.508,.469,27,35,.771,11,36,47,26,14,2,14,25,3,0.46875,0.1884627990822681,0.2,1.1304347826086956,111.8,113.8,-2.0,0.5170157551095154,0.5117148220301578,0.14705361318297222,0.23294431222781511,1.4567813395381033,0.6,0.7
2022,LAL,13,2021-11-12,1,MIN,0,83,107,29,82,.354,9,41,.220,20,41,.488,0.40853658536585363,16,20,.800,11,33,44,17,12,8,20,14,43,94,.457,12,37,.324,31,57,.544,.521,9,12,.750,14,40,54,24,10,4,16,21,-24,0.5212765957446809,0.18050541516245489,0.21568627450980393,0.85,104.6,111.8,-7.2,0.48689511519343875,0.4928932181021709,0.15453516759593458,0.2181868302876706,1.320898986596927,0.4,0.6
2022,LAL,14,2021-11-14,1,SAS,1,114,106,43,83,.518,15,31,.484,28,52,.538,0.608433734939759,13,17,.765,9,37,46,28,6,5,16,16,40,90,.444,16,36,.444,24,54,.444,.533,10,15,.667,11,32,43,28,9,2,15,17,8,0.5333333333333333,0.15026296018031554,0.21951219512195122,1.75,106.6,111.6,-5.0,0.5128371813303267,0.49726103419412493,0.16034113684017223,0.2028300100528016,1.3566132723112125,0.6,0.6
2022,LAL,15,2021-11-15,1,CHI,0,103,121,36,79,.456,6,32,.188,30,47,.638,0.4936708860759494,25,31,.806,8,35,43,19,10,5,19,15,49,89,.551,15,34,.441,34,55,.618,.635,8,11,.727,4,32,36,31,9,2,17,21,-18,0.6348314606741573,0.17018989609458976,0.2,1.0,109.2,114.8,-5.6,0.5326824696566278,0.5326483789605353,0.1625959109737774,0.19969275515084084,1.346086956521739,0.6,0.6
2022,LAL,16,2021-11-17,0,MIL,0,102,109,40,96,.417,12,43,.279,28,53,.528,0.4791666666666667,10,12,.833,11,37,48,24,8,4,13,19,40,87,.460,12,37,.324,28,50,.560,.529,17,24,.708,9,43,52,22,9,4,15,10,-7,0.5287356321839081,0.11375568778438921,0.2037037037037037,1.8461538461538463,104.4,112.0,-7.6,0.5175267920009501,0.5373854043872159,0.1606353516608035,0.20778043466709178,1.3153177257525084,0.4,0.5
2022,LAL,17,2021-11-19,0,BOS,0,108,130,39,84,.464,12,30,.400,27,54,.500,0.5357142857142857,18,24,.750,7,26,33,20,5,6,12,29,44,88,.500,11,30,.367,33,58,.569,.563,31,38,.816,12,39,51,22,7,2,14,20,-22,0.5625,0.11261261261261261,0.15217391304347827,1.6666666666666667,102.0,114.6,-12.6,0.505104431752503,0.5561354043872159,0.1454653143668724,0.19821521727578745,1.4225641025641027,0.2,0.4
2022,LAL,18,2021-11-21,0,DET,1,121,116,45,92,.489,10,31,.323,35,61,.574,0.5434782608695652,21,27,.778,12,39,51,29,7,8,13,21,43,97,.443,14,40,.350,29,57,.509,.515,16,21,.762,8,31,39,27,7,6,11,24,5,0.5154639175257731,0.11122518822724162,0.27906976744186046,2.230769230769231,109.6,116.4,-6.8,0.5320927668532451,0.5549728687434344,0.13160926897982975,0.21089191586219874,1.698717948717949,0.4,0.4
2022,LAL,19,2021-11-23,0,NYK,0,100,106,34,91,.374,11,36,.306,23,55,.418,0.4340659340659341,21,30,.700,13,37,50,23,8,3,12,17,37,82,.451,15,34,.441,22,48,.458,.543,17,21,.810,7,45,52,23,7,4,17,23,-6,0.5426829268292683,0.10327022375215146,0.22413793103448276,1.9166666666666667,106.8,116.4,-9.6,0.49721920667848024,0.5568427874426213,0.12221072169419692,0.21181706304470502,1.7320512820512821,0.2,0.4
